2026-08-09 01:22:27 -  1 - 08 - INFO - Returned settings: Ok(Settings { path: Some("/home/yong/.espressif"), idf_path: None, esp_idf_json_path: Some("/home/yong/.espressif/tools"), tool_download_folder_name: Some("/home/yong/.espressif/dist"), tool_install_folder_name: Some("/home/yong/.espressif/tools"), target: Some(["esp32s3"]), idf_versions: Some(["v5.3.2"]), tools_json_file: Some("tools/tools.json"), config_file: None, config_file_save_path: Some("eim_config.toml"), non_interactive: Some(true), wizard_all_questions: Some(false), mirror: Some("https://github.com"), idf_mirror: Some("https://github.com"), pypi_mirror: Some("https://pypi.org/simple"), recurse_submodules: Some(true), install_all_prerequisites: Some(false), idf_features: None, idf_features_per_version: None, idf_tools: None, idf_tools_per_version: None, repo_stub: None, skip_prerequisites_check: Some(false), version_name: None, cleanup: Some(true), python_env_folder_name: Some("python"), use_local_archive: None, activation_script_path_override: Some("/home/yong/.espressif/tools"), python_version_override: Some("python313") })
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/cmock/CMock -> eeecc49ce8af123cf8ad40efdb9673e37b56230f
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/esp_coex/lib -> 7953ba459a01d5c08f038cad8eaabb4e37d2505d
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/esp_phy/lib -> 1f551c5367daa87a29e0c4f724d6cf809a1841ad
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/esp_wifi/lib -> 75710820e86e573220002b3aab4f5e43ad10d4ec
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/heap/tlsf -> 8fc595fe223cd0b3b5d7b29eb86825e4bd38e6e8
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/json/cJSON -> acc76239bee01d8e9c858ae2cab296704e52d916
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/lwip/lwip -> 0606eed9d8b98a797514fdf6eabb4daf1c8c8cd9
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/mbedtls/mbedtls -> 98fcfd6d2cea90d306e8fde8e5bffd6087c9cda8
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/mqtt/esp-mqtt -> cac1552e62b0474c162547b7cce345d7cd1aecfe
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/openthread/lib -> 55f18e4cc6a249974247fd408aad79b1049d4b31
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/openthread/openthread -> 005c5cefc22aaf0396e4327ee7f2e0ad32a7733b
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/protobuf-c/protobuf-c -> abc67a11c6db271bedbb9f58be85d6f4e2ea8389
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/spiffs/spiffs -> 0dbb3f71c5f6fae3747a9d935372773762baf852
2026-08-09 01:23:32 -  1 - 08 - INFO - Found submodule gitlink: components/unity/unity -> bf560290f6020737eafaa8b5cbd2177c3956c03f
2026-08-09 01:23:32 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/controller
2026-08-09 01:23:32 -  1 - 08 - INFO - Creating modules dir: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/controller/lib_esp32
2026-08-09 01:23:32 -  1 - 08 - INFO - Contents of /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/controller/lib_esp32 before init: []
2026-08-09 01:23:32 -  1 - 08 - INFO - Initializing new git repo at /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/controller/lib_esp32
2026-08-09 01:23:32 -  1 - 08 - INFO - Git dir is at: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/controller/lib_esp32
2026-08-09 01:23:32 -  1 - 08 - INFO - ✓ Initialized modules repo: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bt/controller/lib_esp32
2026-08-09 01:23:33 -  1 - 08 - INFO - ✓ Submodule complete: components/bt/controller/lib_esp32
2026-08-09 01:23:33 -  1 - 08 - INFO - IDF submodule correctly downloaded to:: components/bt/controller/lib_esp32
2026-08-09 01:23:33 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bootloader/subproject/components/micro-ecc
2026-08-09 01:23:33 -  1 - 08 - INFO - Creating modules dir: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bootloader/subproject/components/micro-ecc/micro-ecc
2026-08-09 01:23:33 -  1 - 08 - INFO - Contents of /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bootloader/subproject/components/micro-ecc/micro-ecc before init: []
2026-08-09 01:23:33 -  1 - 08 - INFO - Initializing new git repo at /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bootloader/subproject/components/micro-ecc/micro-ecc
2026-08-09 01:23:33 -  1 - 08 - INFO - Git dir is at: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bootloader/subproject/components/micro-ecc/micro-ecc
2026-08-09 01:23:33 -  1 - 08 - INFO - ✓ Initialized modules repo: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/bootloader/subproject/components/micro-ecc/micro-ecc
2026-08-09 01:23:34 -  1 - 08 - INFO - ✓ Submodule complete: components/bootloader/subproject/components/micro-ecc/micro-ecc
2026-08-09 01:23:34 -  1 - 08 - INFO - IDF submodule correctly downloaded to:: components/bootloader/subproject/components/micro-ecc/micro-ecc
2026-08-09 01:23:34 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/spiffs
2026-08-09 01:23:34 -  1 - 08 - INFO - Creating modules dir: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/spiffs/spiffs
2026-08-09 01:23:34 -  1 - 08 - INFO - Contents of /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/spiffs/spiffs before init: []
2026-08-09 01:23:34 -  1 - 08 - INFO - Initializing new git repo at /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/spiffs/spiffs
2026-08-09 01:23:34 -  1 - 08 - INFO - Git dir is at: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/spiffs/spiffs
2026-08-09 01:23:34 -  1 - 08 - INFO - ✓ Initialized modules repo: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/spiffs/spiffs
2026-08-09 01:23:35 -  1 - 08 - INFO - ✓ Submodule complete: components/spiffs/spiffs
2026-08-09 01:23:35 -  1 - 08 - INFO - IDF submodule correctly downloaded to:: components/spiffs/spiffs
2026-08-09 01:23:35 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/json
2026-08-09 01:23:35 -  1 - 08 - INFO - Creating modules dir: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/json/cJSON
2026-08-09 01:23:35 -  1 - 08 - INFO - Contents of /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/json/cJSON before init: []
2026-08-09 01:23:35 -  1 - 08 - INFO - Initializing new git repo at /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/json/cJSON
2026-08-09 01:23:35 -  1 - 08 - INFO - Git dir is at: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/json/cJSON
2026-08-09 01:23:35 -  1 - 08 - INFO - ✓ Initialized modules repo: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/json/cJSON
2026-08-09 01:23:36 -  1 - 08 - INFO - ✓ Submodule complete: components/json/cJSON
2026-08-09 01:23:36 -  1 - 08 - INFO - IDF submodule correctly downloaded to:: components/json/cJSON
2026-08-09 01:23:36 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mbedtls
2026-08-09 01:23:36 -  1 - 08 - INFO - Creating modules dir: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mbedtls/mbedtls
2026-08-09 01:23:36 -  1 - 08 - INFO - Contents of /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mbedtls/mbedtls before init: []
2026-08-09 01:23:36 -  1 - 08 - INFO - Initializing new git repo at /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mbedtls/mbedtls
2026-08-09 01:23:36 -  1 - 08 - INFO - Git dir is at: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mbedtls/mbedtls
2026-08-09 01:23:36 -  1 - 08 - INFO - ✓ Initialized modules repo: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mbedtls/mbedtls
2026-08-09 01:23:41 -  1 - 08 - INFO - ✓ Submodule complete: components/mbedtls/mbedtls
2026-08-09 01:23:41 -  1 - 08 - INFO - IDF submodule correctly downloaded to:: components/mbedtls/mbedtls
2026-08-09 01:23:41 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/lwip
2026-08-09 01:23:41 -  1 - 08 - INFO - Creating modules dir: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/lwip/lwip
2026-08-09 01:23:41 -  1 - 08 - INFO - Contents of /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/lwip/lwip before init: []
2026-08-09 01:23:41 -  1 - 08 - INFO - Initializing new git repo at /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/lwip/lwip
2026-08-09 01:23:41 -  1 - 08 - INFO - Git dir is at: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/lwip/lwip
2026-08-09 01:23:41 -  1 - 08 - INFO - ✓ Initialized modules repo: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/lwip/lwip
2026-08-09 01:23:43 -  1 - 08 - INFO - ✓ Submodule complete: components/lwip/lwip
2026-08-09 01:23:43 -  1 - 08 - INFO - IDF submodule correctly downloaded to:: components/lwip/lwip
2026-08-09 01:23:43 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mqtt
2026-08-09 01:23:43 -  1 - 08 - INFO - Creating modules dir: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mqtt/esp-mqtt
2026-08-09 01:23:43 -  1 - 08 - INFO - Contents of /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mqtt/esp-mqtt before init: []
2026-08-09 01:23:43 -  1 - 08 - INFO - Initializing new git repo at /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mqtt/esp-mqtt
2026-08-09 01:23:43 -  1 - 08 - INFO - Git dir is at: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mqtt/esp-mqtt
2026-08-09 01:23:43 -  1 - 08 - INFO - ✓ Initialized modules repo: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/mqtt/esp-mqtt
2026-08-09 01:23:44 -  1 - 08 - INFO - ✓ Submodule complete: components/mqtt/esp-mqtt
2026-08-09 01:23:44 -  1 - 08 - INFO - IDF submodule correctly downloaded to:: components/mqtt/esp-mqtt
2026-08-09 01:23:44 -  1 - 08 - INFO - Creating parent directories: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/protobuf-c
2026-08-09 01:23:44 -  1 - 08 - INFO - Creating modules dir: /home/yong/.espressif/v5.3.2/esp-idf/.git/modules/components/protobuf-c/protobuf-c
